,Infected asymptomatic,Infected symptomatic,Critical Cases,Diseased,Susceptible,Isolated,Recovered,total infected,accumulated cases,critical cases recovery rate,death rate,deimmunization rate,infected asymptomatic recovery rate,infected critical case rate,infected symptomatic recovery rate,infection rate,infection rate asymptomatic self,infection rate quarantined self,infection rate symptomatic self,isolated recovery rate,isolation rate asymptomatic,isolation rate symptomatic,isolated critical case rate,symptomatic rate,new cases,contact infectivity asymptomatic self,contact infectivity quarantine self,contact infectivity symptomatic self,fraction of symptomatic,non controlled population,incidence per 100000,case fatality rate,total infection rate,contacts per person symptomatic self,init total population
307.0,28068.573080882823,10757.799410351157,1359.5517016615026,211454.97867020045,3697567.947486654,0.0,4050792.1496502836,38826.37249123398,5310727.783181963,81.57310209969015,54.382068066460114,11252.200415695232,1403.4286540441412,215.15598820702317,1936.4038938632082,5955.66369415899,4997.895736814557,0.0,957.7679573444337,0.0,0.0,0.0,0.0,2806.8573080882825,2806.8573080882825,0.375,0.03749999999999999,0.1875,0.2770745428968415,7787186.469628172,66384.08899176342,0.03981657266257123,5955.66369415899,15.0,8000001
308.0,29872.241301098813,11434.963953510603,1441.3615977165186,211510.95351135643,3702663.9254388004,0.0,4043077.554197551,41307.20525460942,5313622.417714574,86.48169586299112,57.65446390866075,11230.770983882087,1493.6120650549406,228.69927907021207,2058.2935116319086,6345.959321193642,5326.482216500215,0.0,1019.4771046934267,0.0,0.0,0.0,0.0,2987.224130109881,2987.224130109881,0.375,0.03749999999999999,0.1875,0.27682734484281263,7787048.684890961,66420.27191889819,0.039805416509502145,6345.959321193642,15.0,8000001
309.0,31799.544660877946,12158.561642613076,1528.7159706994678,211570.30865886057,3707335.592571795,0.0,4035608.2764951843,43958.10630349102,5316703.437821109,91.72295824196807,61.14863882797871,11210.0229902644,1589.9772330438973,243.17123285226154,2188.5410956703536,6762.775412437222,5677.398283123391,0.0,1085.377129313832,0.0,0.0,0.0,0.0,3179.9544660877946,3179.9544660877946,0.375,0.03749999999999999,0.1875,0.2765943000062193,7786901.97537047,66458.78466541578,0.039793513242402385,6762.775412437222,15.0,8000001
310.0,33858.66914157892,12931.75997518221,1622.0011011635104,211633.27341433382,3711556.319897469,0.0,4028398.9764703047,46790.42911676113,5319983.60634515,97.32006606981062,64.88004404654042,11189.997156861957,1692.9334570789458,258.63519950364423,2327.7167955327977,7207.768837767937,6052.031965570806,0.0,1155.736872197131,0.0,0.0,0.0,0.0,3385.8669141578916,3385.8669141578916,0.375,0.03749999999999999,0.1875,0.2763761781904632,7786745.725484535,66499.78676684103,0.039780813076551326,7207.768837767937,15.0,8000001
311.0,36058.23110121812,13757.914310280381,1721.6285953992126,211700.09302513738,3715297.83046826,0.0,4021465.302499737,49816.1454114985,5323476.525892698,103.29771572395275,68.86514381596851,11170.736951388159,1802.9115550609063,275.1582862056076,2476.4245758504685,7682.663176219599,6451.825457851727,0.0,1230.8377183678724,0.0,0.0,0.0,0.0,3605.8231101218125,3605.8231101218125,0.375,0.03749999999999999,0.1875,0.27617380262232805,7786579.278379496,66543.4482557277,0.039767263365482246,7682.663176219599,15.0,8000001
312.0,38407.2772495583,14640.57286246137,1828.036600911624,211771.02972140355,3718530.1376104658,0.0,4014823.9459552313,53047.85011201967,5327196.681906654,109.68219605469744,73.12146403646497,11152.288738764531,1920.3638624779148,292.8114572492274,2635.3031152430467,8189.244135875944,6878.270886822808,0.0,1310.9732490531364,0.0,0.0,0.0,0.0,3840.7277249558297,3840.7277249558297,0.375,0.03749999999999999,0.1875,0.2759880528908387,7786401.933677716,66589.9502000894,0.03975280853448961,8189.244135875944,15.0,8000001
313.0,40915.27958567674,15583.480561505501,1941.6909908879013,211846.36380113973,3721221.488711163,0.0,4008492.6963496595,56498.76014718224,5331159.485498861,116.50145945327408,77.66763963551605,11134.70193430461,2045.763979283837,311.66961123011004,2805.0265010709904,8729.35326134326,7332.904584790002,0.0,1396.4486765532572,0.0,0.0,0.0,0.0,4091.527958567674,4091.527958567674,0.375,0.03749999999999999,0.1875,0.27581986792116703,7786212.945208005,66639.48523880012,0.0397373900325768,8729.35326134326,15.0,8000001
314.0,43592.12428255907,16590.581480616554,2063.0864962378982,211926.3947617577,3723338.3164043315,0.0,4002490.4965745294,60182.70576317562,5335381.315486925,123.78518977427389,82.52345984951594,11118.02915715147,2179.6062141279535,331.8116296123311,2986.30466651098,9304.879656392559,7817.2996330027045,0.0,1487.5800233898537,0.0,0.0,0.0,0.0,4359.212428255907,4359.212428255907,0.375,0.03749999999999999,0.1875,0.2756702489566021,7786011.518742036,66692.2581070543,0.03972094630736184,9304.879656392559,15.0,8000001
315.0,46448.093380910555,17666.019491946332,2192.7477597546376,212011.44247544272,3724845.1992838285,0.0,3996837.497608148,64114.11287285689,5339879.558975546,131.56486558527826,87.70991039018551,11102.326382244855,2322.404669045528,353.32038983892664,3179.8835085503397,9917.749426832908,8333.056423434204,0.0,1584.693003398704,0.0,0.0,0.0,0.0,4644.809338091056,4644.809338091056,0.375,0.03749999999999999,0.1875,0.27554026251567076,7785796.809764833,66748.48614363356,0.03970341280808158,9917.749426832908,15.0,8000001
316.0,49493.838029224426,18814.136761195834,2331.230282423883,212101.84840467395,3725704.8345740144,0.0,3991555.1119484976,68307.97479042027,5344672.649702268,139.873816945433,93.24921129695534,11087.653088745827,2474.6919014612213,376.2827352239167,3386.54461701525,10569.912528689678,8881.790970041793,0.0,1688.1215586478838,0.0,0.0,0.0,0.0,4949.383802922443,4949.383802922443,0.375,0.03749999999999999,0.1875,0.27543104328477896,7785567.921312932,66808.39977022838,0.039684722022496434,10569.912528689678,15.0,8000001
317.0,52740.34188266406,20039.469643119523,2479.1212268993063,212197.97685291024,3725878.025509679,0.0,3986666.064884758,72779.81152578359,5349780.103234851,148.74727361395838,99.16484907597226,11074.072402457661,2637.017094133203,400.78939286239046,3607.104535761514,11263.32669090498,9465.120688332188,0.0,1798.2060025727922,0.0,0.0,0.0,0.0,5274.034188266406,5274.034188266406,0.375,0.03749999999999999,0.1875,0.275343796899229,7785323.901920222,66872.24293140527,0.039664803554187306,11263.32669090498,15.0,8000001
318.0,56198.8731541438,21346.74148780514,2637.0400376527905,212300.21624395103,3725323.6865105145,0.0,3982194.442565963,77545.61464194894,5355222.547963092,158.2224022591674,105.48160150611163,11061.651229349898,2809.94365770719,426.9348297561028,3842.4134678049254,11999.938072015291,10084.647355260498,0.0,1915.2907167547937,0.0,0.0,0.0,0.0,5619.88731541438,5619.88731541438,0.375,0.03749999999999999,0.1875,0.2752798025571061,7785063.743718427,66940.27348200446,0.039643584247437365,11999.938072015291,15.0,8000001
